# X Y Z i
284274.50 5036142.40 -2.00 0.000000
284294.50 5036142.40 -2.00 0.000000
284314.50 5036142.40 -2.00 0.000000
284334.50 5036142.40 -2.00 0.000000
284214.50 5036162.40 -2.00 0.000000
284234.50 5036162.40 -2.00 0.000000
284254.50 5036162.40 -2.00 0.000000
284274.50 5036162.40 -2.00 0.000000
284294.50 5036162.40 -2.00 0.000000
284314.50 5036162.40 -2.00 0.000000
284334.50 5036162.40 -2.00 0.000000
284214.50 5036182.40 -2.00 0.000000
284234.50 5036182.40 -2.00 0.000000
284254.50 5036182.40 -2.00 0.000000
284274.50 5036182.40 -2.00 0.000000
284294.50 5036182.40 -2.00 0.000000
284314.50 5036182.40 -2.00 0.000000
284334.50 5036182.40 -2.00 0.000000
284214.50 5036202.40 -2.00 0.000000
284234.50 5036202.40 -2.00 0.000000
284254.50 5036202.40 -2.00 0.000000
284274.50 5036202.40 -2.00 0.000000
284294.50 5036202.40 -2.00 0.000000
284314.50 5036202.40 -2.00 0.000000
284334.50 5036202.40 -2.00 0.000000
284214.50 5036222.40 -2.00 0.000000
284234.50 5036222.40 -2.00 0.000000
284254.50 5036222.40 -2.00 0.000000
284274.50 5036222.40 -2.00 0.000000
284294.50 5036222.40 -2.00 0.000000
284314.50 5036222.40 -2.00 0.000000
284334.50 5036222.40 -2.00 0.000000
284214.50 5036242.40 -2.00 0.000000
284234.50 5036242.40 -2.00 0.000000
284254.50 5036242.40 -2.00 0.000000
284274.50 5036242.40 -2.00 0.000000
284294.50 5036242.40 -2.00 0.000000
284314.50 5036242.40 -2.00 0.000000
284334.50 5036242.40 -2.00 0.000000
284214.50 5036262.40 -2.00 0.000000
284234.50 5036262.40 -2.00 0.000000
284254.50 5036262.40 -2.00 0.000000
284274.50 5036262.40 -2.00 0.000000
284294.50 5036262.40 -2.00 0.000000
284314.50 5036262.40 -2.00 0.000000
284334.50 5036262.40 -2.00 0.000000
284214.50 5036282.40 -2.00 0.000000
284234.50 5036282.40 -2.00 0.000000
284254.50 5036282.40 -2.00 0.000000
284274.50 5036282.40 -2.00 0.000000
284294.50 5036282.40 -2.00 0.000000
284314.50 5036282.40 -2.00 0.000000
284334.50 5036282.40 -2.00 0.000000
284214.50 5036302.40 -2.00 0.000000
284234.50 5036302.40 -2.00 0.000000
284254.50 5036302.40 -2.00 0.000000
284274.50 5036302.40 -2.00 0.000000
284294.50 5036302.40 -2.00 0.000000
284314.50 5036302.40 -2.00 0.000000
284334.50 5036302.40 -2.00 0.000000
284214.50 5036322.40 -2.00 0.000000
284234.50 5036322.40 -2.00 0.000000
284254.50 5036322.40 -2.00 0.000000
284274.50 5036322.40 -2.00 0.000000
284294.50 5036322.40 -2.00 0.000000
284314.50 5036322.40 -2.00 0.000000
284334.50 5036322.40 -2.00 0.000000
284214.50 5036342.40 -2.00 0.000000
284234.50 5036342.40 -2.00 0.000000
284254.50 5036342.40 -2.00 0.000000
284274.50 5036342.40 -2.00 0.000000
284294.50 5036342.40 -2.00 0.000000
284314.50 5036342.40 -2.00 0.000000
284334.50 5036342.40 -2.00 0.000000
